Product;Synonym
Bucha da Alavanca do Pedal do Acelerador;bucha do acelerador, bucha da haste do acelerador, bucha de acionamento do acelerador;sim
Bucha da Alavanca do Pedal do Freio;bucha do freio, bucha da haste do freio, bucha de acionamento do freio;sim
Bucha da Alavanca do Trambulador;bucha do trambulador, bucha da haste do trambulador, bucha do seletor do câmbio;sim
Bucha da Algema;bucha do pino da algema, bucha de ligação da algema, bucha de conexão da algema;sim
Bucha da Articulação do Eixo;bucha da junta do eixo, bucha da articulação do eixo de transmissão, bucha do cardan;sim
Bucha da Balança da Suspensão Cônica;bucha da suspensão cônica, bucha da balança do braço da suspensão, bucha da conexão da suspensão cônica;sim
Bucha da Bandeja;bucha da bandeja da suspensão, bucha do braço oscilante, bucha do braço da suspensão;sim
Bucha da Barra de Direção;bucha da barra de acoplamento, bucha da barra de ligação, bucha da haste da direção;sim
Bucha da Barra de Reação;bucha da barra de reação, bucha da haste de reação, bucha de reação da suspensão;sim
Bucha da Barra de Torção;bucha da barra de torção, bucha da mola de torção, bucha do estabilizador de torção;sim
Bucha da Barra Estabilizadora;bucha do estabilizador, bucha da barra antirrolagem, bucha da barra estabilizadora;sim
Bucha da Barra Tensora;bucha da barra tensora, bucha da haste tensora, bucha do estabilizador;sim
Bucha da Barra Torção;bucha da barra de torção, bucha da mola de torção, bucha do estabilizador de torção;sim
Bucha da Barra Y e V;bucha da barra y, bucha da barra v, bucha da barra de ligação em y;sim
Bucha da Base da Alavanca;bucha da base da alavanca de câmbio, bucha da carcaça da alavanca, bucha da haste da alavanca;sim
Bucha da Bieleta;bucha da bieleta da suspensão, bucha da ligação da bieleta, bucha da conexão da bieleta;sim
Bucha da Bomba de Direção;bucha do suporte da bomba de direção, bucha do braço da bomba de direção, bucha do pivô da bomba de direção;sim
Bucha da Buzina;bucha do suporte da buzina, bucha de fixação da buzina, bucha de redução de vibração da buzina;sim
Bucha da Cabine;bucha do suporte da cabine, bucha da suspensão da cabine, bucha do amortecedor da cabine;sim
Bucha da Caixa Alavanca do Câmbio;bucha da alavanca de câmbio, bucha de redução de vibração da alavanca de câmbio, bucha da caixa de engrenagem da alavanca de câmbio;sim
Bucha da Caixa de Direção;bucha do suporte da caixa de direção, bucha do pivô da caixa de direção, bucha de redução de vibração da caixa de direção;sim
Bucha da Caixa Satelite Reduzida;bucha do suporte da caixa satélite reduzida, bucha do pivô da caixa satélite reduzida, bucha de redução de vibração da caixa satélite reduzida;sim
Bucha da Carcaça da Alavanca do Câmbio;bucha de fixação da alavanca de câmbio, bucha de redução de vibração da carcaça da alavanca de câmbio, bucha da caixa de engrenagem da alavanca de câmbio;sim
Bucha da Carcaça do Câmbio;bucha de fixação da carcaça do câmbio, bucha de redução de vibração da carcaça do câmbio, bucha da caixa de engrenagem do câmbio;sim
Bucha da Carcaça do Eixo de Embreagem;bucha de fixação da carcaça do eixo de embreagem, bucha de redução de vibração da carcaça do eixo de embreagem, bucha do suporte da carcaça do eixo de embreagem;sim
Bucha da Carcaça do Farol;bucha de fixação da carcaça do farol, bucha de redução de vibração da carcaça do farol, bucha do suporte da carcaça do farol;sim
Bucha da Carcaça do Semi-eixo;bucha de fixação da carcaça do semi-eixo, bucha de redução de vibração da carcaça do semi-eixo, bucha do suporte da carcaça do semi-eixo;sim
Bucha da Carroceria de Cabine;bucha do suporte da carroceria de cabine, bucha da suspensão da carroceria de cabine, bucha do amortecedor da carroceria de cabine;sim
Bucha da Coifa do Câmbio;bucha da coifa da alavanca de câmbio, bucha de redução de vibração da coifa do câmbio, bucha da caixa de engrenagem da coifa do câmbio;sim
Bucha da Coluna de Direção;bucha do suporte da coluna de direção, bucha do pivô da coluna de direção, bucha de redução;sim
Bucha da Cremalheira da Caixa de Direção;bucha do pinhão, bucha do volante, bucha da barra de direção;sim
Bucha da Direção Hidráulica;bucha da bomba, bucha do cilindro, bucha do reservatório;sim
Bucha da Dobradiça do Capô;bucha da articulação, bucha do pivô, bucha da sustentação;sim
Bucha da Engrenagem;bucha do eixo, bucha do pinhão, bucha da coroa;sim
Bucha da Fechadura;bucha do cilindro, bucha da tranca, bucha da chave;sim
Bucha da Gaiola;bucha do suporte, bucha do encaixe, bucha do abrigo;sim
Bucha da Grade;bucha da estrutura, bucha do armação, bucha da gradeamento;sim
Bucha da Grelha;bucha da malha, bucha do gradeamento, bucha da grade;sim
Bucha da Haste do Capô;bucha do suporte, bucha do eixo, bucha do levante;sim
Bucha da Haste do Trambulador;bucha do varetamento, bucha da alavanca, bucha do engate;sim
Bucha da Haste Seletora;bucha do eixo, bucha da alavanca, bucha do seletor;sim
Bucha da Hastedo Cilindro de Embreagem;bucha do atuador, bucha do pedal, bucha do câmbio;sim
Bucha da Lanterna;bucha do suporte, bucha do encaixe, bucha da carcaça;sim
Bucha da Maçaneta da Porta Meio;bucha do punho, bucha do puxador, bucha do manípulo;sim
Bucha da Manga de Eixo;bucha do eixo, bucha da junta, bucha da árvore;sim
Bucha da Mola de Suspensão;bucha do amortecedor, bucha da barra estabilizadora, bucha do suporte;sim
Bucha da Moldura do Para-lama;bucha do armação, bucha do painel, bucha do chassi;sim
Bucha da Placa;bucha do suporte, bucha do fixador, bucha da plaqueta;sim
Bucha da Ponta com Prisioneiro;bucha do eixo, bucha da haste, bucha do pino;sim
Bucha da Ponta da Barra Estabilizadora;bucha do terminal, bucha do engate, bucha do conector;sim
Bucha da Ponta da Cremalheira da Caixa de Direção;bucha do terminal, bucha do engate, bucha do conector;sim
Bucha da Ponta de Eixo;bucha do terminal, bucha do engate, bucha do conector;sim
Bucha da Ponta do Braço;bucha do terminal, bucha do engate, bucha do conector;sim
Bucha da Ponta do Braço de Reação;bucha do terminal, bucha do engate, bucha do conector;sim
Bucha da Ponte do Mancal do Travamento de Cabine;bucha do terminal, bucha do engate, bucha do conector;sim
Bucha da Ponte do Tirante da Alavanca de Câmbio;bucha do terminal, bucha do engate, bucha do conector;sim
Bucha da Presilha do Revestimento da Porta;bucha do fixador, bucha do suporte, bucha do grampo;sim
Bucha da Roldana do Banco;bucha do suporte, bucha do rodízio, bucha do rolete;sim
Bucha da Roldana do Patim de Freio;bucha do suporte, bucha do rolete, bucha do rodízio;sim
Bucha da Sapata de Freio;bucha do suporte, bucha do pivô, bucha do eixo;sim
Bucha da Seleção de Marcha;bucha do terminal, bucha do engate, bucha do conector;sim
Bucha da Suspensão;bucha do amortecedor, bucha do pivô, bucha do suporte;sim
Bucha da Suspensão de Cabine;bucha do amortecedor, bucha do pivô, bucha do suporte;sim
Bucha da Tampa da Caçamba;bucha do suporte, bucha do batente, bucha do fixador;sim
Bucha da Tampa do Câmbio;bucha do suporte, bucha do batente, bucha do fixador;sim
Bucha da Tampa do Guia Móvel;bucha do suporte, bucha do batente, bucha do fixador;sim
Bucha da Torre da Carcaça do Câmbio;bucha do suporte, bucha do batente, bucha do fixador;sim
Bucha da Trava da Haste da Fechadura;bucha do fixador, bucha do suporte, bucha do batente;sim
Bucha da Trava de Cabine;bucha do fixador, bucha do suporte, bucha do batente;sim
Bucha da Trava do Cabo do Afogador;anel de fixação, bucha de retenção, suporte de bloqueio;sim
Bucha da Travessa de Suspensão;bucha da barra estabilizadora, bucha do estabilizador, bucha do tirante;sim
Bucha de Apoio do Virabrequim;bucha de suporte do virabrequim, bucha de amortecimento, bucha de apoio principal;sim
Bucha de Biela;bucha de ligação, bucha de manivela, bucha de articulação;sim
Bucha de Bieleta;bucha de ligação estabilizadora, bucha de acoplamento, bucha de barra estabilizadora;sim
Bucha de Correção da Folga do Banco;bucha de ajuste de jogo do assento, bucha de compensação de folga do banco, bucha de correção de jogo do encosto;sim
Bucha de Fixação;bucha de fixação, bucha de travamento, bucha de encaixe;sim
Bucha de Fixação da Caixa de Direção;bucha de fixação da caixa de direção, bucha de travamento da caixa de direção, bucha de suporte da caixa de direção;sim
Bucha de Fixação da Caixa do Filtro de Ar;bucha de fixação da caixa do filtro de ar, bucha de travamento da caixa do filtro de ar, bucha de suporte da caixa do filtro de ar;sim
Bucha de Fixação do Lavador do Para-brisa;bucha de fixação do lavador de para-brisa, bucha de travamento do lavador de para-brisa, bucha de suporte do lavador de para-brisa;sim
Bucha de Mola;bucha de suspensão, bucha elástica, bucha de amortecimento;sim
Bucha de Óleo;bucha de vedação, bucha de lubrificação, bucha de retenção de óleo;sim
Bucha de Revestimento;bucha de revestimento, bucha de proteção, bucha de cobertura;sim
Bucha de Suspensão;bucha elástica, bucha de amortecimento, bucha de ligação;sim
Bucha de Suspensão de Cabine;bucha de ligação da cabine, bucha de amortecimento de cabine, bucha elástica de cabine;sim
Bucha de Teto;bucha de fixação de teto, bucha de travamento de teto, bucha de suporte de teto;sim
Bucha de Torção;bucha de encaixe de torção, bucha de fixação de torção, bucha de travamento de torção;sim
Bucha de Vedação para Turbina Retorno;bucha de vedação de retorno de turbina, bucha de selagem de retorno de turbina, bucha de proteção de retorno de turbina;sim
Bucha de Vibração do Quadro;bucha de amortecimento de quadro, bucha elástica de quadro, bucha de absorção de vibração do chassi;sim
Bucha Deliszante do Garfo da Embreagem;bucha deslizante do garfo da embreagem, bucha de deslizamento do garfo da embreagem, bucha de acoplamento do garfo da embreagem;sim
Bucha Deliszante do Garfo do Câmbio;bucha giratória do garfo do câmbio, bucha rotativa do garfo do câmbio, bucha deslizante do garfo do câmbio;sim
Bucha Desengate da Embreagem;bucha desconexão da embreagem, bucha deslizamento da embreagem, bucha desbloqueio da embreagem;sim
Bucha Deslizante da alavanca do Câmbio;bucha desengate da alavanca do câmbio, bucha escorregadia da alavanca do câmbio, bucha deslizadora da alavanca do câmbio;sim
Bucha Deslizante da Roldana;bucha desengate da roldana, bucha escorregadia da roldana, bucha deslizadora da roldana;sim
Bucha Distanciadora da Engrenagem da Cruzeta;bucha espaçadora da engrenagem da cruzeta, bucha separadora da engrenagem da cruzeta, bucha distanciante da engrenagem da cruzeta;sim
Bucha Distanciadora do Câmbio;bucha espaçadora do câmbio, bucha separadora do câmbio, bucha distanciante do câmbio;sim
Bucha do Acoplamento da Bomba;bucha de conexão da bomba, bucha de acoplamento da bomba, bucha de encaixe da bomba;sim
Bucha do Alternador;bucha de fixação do alternador, bucha de sustentação do alternador, bucha de suporte do alternador;sim
Bucha do Amortecedor;bucha de absorção do amortecedor, bucha de acomodação do amortecedor, bucha de suporte do amortecedor;sim
Bucha do Aperto de Fixação do Painel;bucha de fixação do painel, bucha de aperto do painel, bucha de ajuste do painel;sim
Bucha do Aplique da Tampa;bucha de aplicação da tampa, bucha de fixação da tampa, bucha de suporte da tampa;sim
Bucha do Assento do Garfo da Embreagem;bucha de acomodação do garfo da embreagem, bucha de encaixe do garfo da embreagem, bucha de suporte do garfo da embreagem;sim
Bucha do Assoalho;bucha de fixação do assoalho, bucha de suporte do assoalho, bucha de apoio do assoalho;sim
Bucha do Atuador de Embreagem;bucha de acionamento do atuador de embreagem, bucha de controle do atuador de embreagem, bucha de suporte do atuador de embreagem;sim
Bucha do Banco;bucha de fixação do banco, bucha de suporte do banco, bucha de apoio do banco;sim
Bucha do Banco de Ar;bucha de fixação do banco de ar, bucha de suporte do banco de ar, bucha de apoio do banco de ar;sim
Bucha do Bloqueio do Diferencial;bucha de fixação do bloqueio do diferencial, bucha de suporte do bloqueio do diferencial, bucha de apoio do bloqueio do diferencial;sim
Bucha do Botão de Buzina;bucha de acionamento do botão de buzina, bucha de controle do botão de buzina, bucha de pressionamento do botão de buzina;sim
Bucha do Braço;bucha de fixação do braço, bucha de suporte do braço, bucha de apoio do braço;sim
Bucha do Braço Alternador;bucha de fixação do braço alternador, bucha de suporte do braço alternador, bucha de apoio do braço alternador;sim
Bucha do Braço Auxiliar;bucha de fixação do braço auxiliar, bucha de suporte do braço auxiliar, bucha de apoio do braço auxiliar;sim
Bucha do Braço Bumerangue;bucha de fixação do braço bumerangue, bucha de suporte do braço bumerangue, bucha de apoio do braço bumerangue;sim
Bucha do Braço da Suspensão;bucha de fixação do braço da suspensão, bucha de suporte do braço da suspensão, bucha de apoio do braço da suspensão;sim
Bucha do Braço de Reação;bucha de fixação do braço de reação, bucha de suporte do braço de reação, bucha de apoio do braço de reação;sim
Bucha do Braço de Suspensão;bucha de fixação do braço de suspensão, bucha de suporte do braço de suspensão, bucha de apoio do braço de suspensão;sim
Bucha do Braço do Agregado;bucha de fixação do braço do agregado, bucha de suporte do braço do agregado, bucha de apoio do braço do agregado;sim
Bucha do Braço do Eixo;bucha de fixação do braço do eixo, bucha de suporte do braço do eixo, bucha de apoio do braço do eixo;sim
Bucha do Braço Guia Transversal;bucha de fixação do braço guia transversal, bucha de suporte do braço guia transversal, bucha de apoio do braço guia transversal;sim
Bucha do Braço Lateral da Suspensão;bucha de fixação do braço lateral da suspensão, bucha de suporte do braço lateral da suspensão, bucha de apoio do braço lateral da suspensão;sim
Bucha do Braço Oscilante;bucha de fixação do braço oscilante, bucha de suporte do braço oscilante, bucha de apoio do braço oscilante;sim
Bucha do Braço Pivô;bucha de fixação do braço pivô, bucha de suporte do braço pivô, bucha de apoio do braço pivô;sim
Bucha do Braço Suspensão;bucha de fixação do braço suspensão, bucha de suporte do braço suspensão, bucha de apoio do braço suspensão;sim
Bucha do Braço Tensor;bucha de fixação do braço tensor, bucha de suporte do braço tensor, bucha de apoio do braço tensor;sim
Bucha do Braço Transversal da Suspensão;bucha de fixação;sim
Bucha do Cabo de Embreagem;bucha de fixação do cabo de embreagem, bucha de suporte do cabo de embreagem, bucha de apoio do cabo de embreagem;sim
Bucha do Cabo de Engate;bucha de fixação do cabo de engate, bucha de suporte do cabo de engate, bucha de apoio do cabo de engate;sim
Bucha do Cabo de Marcha;bucha de fixação do cabo de marcha, bucha de suporte do cabo de marcha, bucha de apoio do cabo de marcha;sim
Bucha do Cabo de Seleção;bucha de fixação do cabo de seleção, bucha de suporte do cabo de seleção, bucha de apoio do cabo de seleção;sim
Bucha do Cabo do Acelerador;bucha de fixação do cabo do acelerador, bucha de suporte do cabo do acelerador, bucha de apoio do cabo do acelerador;sim
Bucha do Cabo do Trambulador;bucha de fixação do cabo do trambulador, bucha de suporte do cabo do trambulador, bucha de apoio do cabo do trambulador;sim
Bucha do Cabo Seletor;bucha de fixação do cabo seletor, bucha de suporte do cabo seletor, bucha de apoio do cabo seletor;sim
Bucha do Cabo Transmissão;bucha de fixação do cabo transmissão, bucha de suporte do cabo transmissão, bucha de apoio do cabo transmissão;sim
Bucha do Capô;bucha de fixação do capô, bucha de suporte do capô, bucha de apoio do capô;sim
Bucha do Cavalete;bucha de fixação do cavalete, bucha de suporte do cavalete, bucha de apoio do cavalete;sim
Bucha do Coletor de Escape;bucha de fixação do coletor de escape, bucha de suporte do coletor de escape, bucha de apoio do coletor de escape;sim
Bucha do Descansa Braço;bucha de fixação do descansa braço, bucha de suporte do descansa braço, bucha de apoio do descansa braço;sim
Bucha do Diferencial;bucha de fixação do diferencial, bucha de suporte do diferencial, bucha de apoio do diferencial;sim
Bucha do Distanciador da Engrenação;bucha de fixação do distanciador da engrenação, bucha de suporte do distanciador da engrenação, bucha de apoio do distanciador da engrenação;sim
Bucha do Distanciador do Jumelo;bucha de fixação do distanciador do jumelo, bucha de suporte do distanciador do jumelo, bucha de apoio do distanciador do jumelo;sim
Bucha do Eixo;bucha de fixação do eixo, bucha de suporte do eixo, bucha de apoio do eixo;sim
Bucha do Eixo Balanceador;bucha de fixação do eixo balanceador, bucha de suporte do eixo balanceador;sim
Bucha do Eixo da Carcaça da Embreagem;bucha de fixação do eixo da carcaça da embreagem, bucha de suporte do eixo da carcaça da embreagem, bucha de apoio do eixo da carcaça da embreagem;sim
Bucha do Eixo da Engrenagem da Marcha Ré;bucha de fixação do eixo da engrenagem da marcha ré, bucha de suporte do eixo da engrenagem da marcha ré, bucha de apoio do eixo da engrenagem da marcha ré;sim
Bucha do Eixo de Embreagem;bucha de fixação do eixo de embreagem, bucha de suporte do eixo de embreagem, bucha de apoio do eixo de embreagem;sim
Bucha do Eixo de Freio;bucha de fixação do eixo de freio, bucha de suporte do eixo de freio, bucha de apoio do eixo de freio;sim
Bucha do Eixo do Balancim;bucha de fixação do eixo do balancim, bucha de suporte do eixo do balancim, bucha de apoio do eixo do balancim;sim
Bucha do Eixo do Braço do Limpador;bucha de fixação do eixo do braço do limpador, bucha de suporte do eixo do braço do limpador, bucha de apoio do eixo do braço do limpador;sim
Bucha do Eixo do Garfo da Embreagem;bucha de fixação do eixo do garfo da embreagem, bucha de suporte do eixo do garfo da embreagem, bucha de apoio do eixo do garfo da embreagem;sim
Bucha do Eixo do Pedal;bucha de fixação do eixo do pedal, bucha de suporte do eixo do pedal, bucha de apoio do eixo do pedal;sim
Bucha do Eixo Hidráulico;bucha de fixação do eixo hidráulico, bucha de suporte do eixo hidráulico, bucha de apoio do eixo hidráulico;sim
Bucha do Eixo Lateral da Alavanca Manual;bucha de fixação do eixo lateral da alavanca manual, bucha de suporte do eixo lateral da alavanca manual, bucha de apoio do eixo lateral da alavanca manual;sim
Bucha do Eixo Pedestal;bucha de fixação do eixo pedestal, bucha de suporte do eixo pedestal, bucha de apoio do eixo pedestal;sim
Bucha do Eixo Piloto do Volante;bucha de fixação do eixo piloto do volante, bucha de suporte do eixo piloto do volante, bucha de apoio do eixo piloto do volante;sim
Bucha do Eixo S;bucha de fixação do eixo s, bucha de suporte do eixo s, bucha de apoio do eixo s;sim
Bucha do Eixo Z;bucha de fixação do eixo z, bucha de suporte do eixo z, bucha de apoio do eixo z;sim
Bucha do Emblema;bucha de fixação do emblema, bucha de suporte do emblema;sim
Bucha do Encosto da Cabeça;bucha de fixação do encosto da cabeça, bucha de suporte do encosto da cabeça, bucha de apoio do encosto da cabeça;sim
Bucha do Engate;bucha de fixação do engate, bucha de suporte do engate, bucha de apoio do engate;sim
Bucha do Espaçador do Amortecedor;bucha de fixação do espaçador do amortecedor, bucha de suporte do espaçador do amortecedor, bucha de apoio do espaçador do amortecedor;sim
Bucha do Esticador da Correia;bucha de fixação do esticador da correia, bucha de suporte do esticador da correia, bucha de apoio do esticador da correia;sim
Bucha do Farol;bucha de fixação do farol, bucha de suporte do farol, bucha de apoio do farol;sim
Bucha do Farol Auxiliar;bucha do farol auxiliar: bucha de fixação do farol auxiliar, bucha de suporte do farol auxiliar, bucha de apoio do farol auxiliar;sim
Bucha do Feixe de Mola;bucha de fixação do feixe de mola, bucha de suporte do feixe de mola, bucha de apoio do feixe de mola;sim
Bucha do Forro;bucha de fixação do forro, bucha de suporte do forro, bucha de apoio do forro;sim
Bucha do Friso;bucha de fixação do friso, bucha de suporte do friso, bucha de apoio do friso;sim
Bucha do Garfo;bucha de fixação do garfo, bucha de suporte do garfo, bucha de apoio do garfo;sim
Bucha do Garfo de Embreagem;bucha de fixação do garfo de embreagem, bucha de suporte do garfo de embreagem, bucha de apoio do garfo de embreagem;sim
Bucha do Garfo de Marcha;bucha de fixação do garfo de marcha, bucha de suporte do garfo de marcha, bucha de apoio do garfo de marcha;sim
Bucha do Garfo do Câmbio;bucha de fixação do garfo do câmbio, bucha de suporte do garfo do câmbio, bucha de apoio do garfo do câmbio;sim
Bucha do Garfo do Diferencial;bucha de fixação do garfo do diferencial, bucha de suporte do garfo do diferencial, bucha de apoio do garfo do diferencial;sim
Bucha do Garfo do Eixo;bucha de fixação do garfo do eixo, bucha de suporte do garfo do eixo, bucha de apoio do garfo do eixo;sim
Bucha do isolador do Coletor de Admissão;bucha de suporte do coletor de admissão, bucha de amortecimento do coletor de admissão, bucha de isolamento do coletor de admissão;sim
Bucha do Jumelo;bucha de fixação do jumelo, bucha de suporte do jumelo, bucha de amortecimento do jumelo;sim
Bucha do Macaquinho da Ponta do Garfo do Câmbio;bucha de fixação do macaquinho da ponta do garfo do câmbio, bucha de suporte do macaquinho da ponta do garfo do câmbio, bucha de amortecimento do macaquinho da ponta do garfo do câmbio;sim
Bucha do Mancal da Alavanca de Câmbio;bucha de fixação do mancal da alavanca de câmbio, bucha de suporte do mancal da alavanca de câmbio, bucha de amortecimento do mancal da alavanca de câmbio;sim
Bucha do Mancal da Alavanca do Acelerador;bucha de fixação do mancal da alavanca do acelerador, bucha de suporte do mancal da alavanca do acelerador, bucha de amortecimento do mancal da alavanca do acelerador;sim
Bucha do Mancal da Balança;bucha de fixação do mancal da balança, bucha de suporte do mancal da balança, bucha de amortecimento do mancal da balança;sim
Bucha do Mancal de Cabine;bucha de fixação do mancal de cabine, bucha de suporte do mancal de cabine, bucha de amortecimento do mancal de cabine;sim
Bucha do Mancal de Embreagem;bucha de fixação do mancal de embreagem, bucha de suporte do mancal de embreagem, bucha de amortecimento do mancal de embreagem;sim
Bucha do Mancal de Freio e Embreagem;bucha de fixação do mancal de freio e embreagem, bucha de suporte do mancal de freio e embreagem, bucha de amortecimento do mancal de freio e embreagem;sim
Bucha do Mancal do Eixo;bucha de fixação do mancal do eixo, bucha de suporte do mancal do eixo, bucha de amortecimento do mancal do eixo;sim
Bucha do Monobloco;bucha de fixação do monobloco, bucha de suporte do monobloco;sim
Bucha do Munhão da Coluna de Direção;bucha de fixação do munhão da coluna de direção, bucha de suporte do munhão da coluna de direção, bucha de amortecimento do munhão da coluna de direção;sim
Bucha do Olhal;bucha de fixação do olhal, bucha de suporte do olhal, bucha de amortecimento do olhal;sim
Bucha do Para-barro;bucha de fixação do para-barro, bucha de suporte do para-barro, bucha de amortecimento do para-barro;sim
Bucha do Para-choque;bucha de fixação do para-choque, bucha de suporte do para-choque, bucha de amortecimento do para-choque;sim
Bucha do Para-lama;bucha de fixação do para-lama, bucha de suporte do para-lama, bucha de amortecimento do para-lama;sim
Bucha do Patim de Freio;bucha de fixação do patim de freio, bucha de suporte do patim de freio, bucha de amortecimento do patim de freio;sim
Bucha do Pé da Vareta do Capô;bucha de fixação do pé da vareta do capô, bucha de suporte do pé da vareta do capô, bucha de amortecimento do pé da vareta do capô;sim
Bucha do Pedal de Embreagem;bucha de fixação do pedal de embreagem, bucha de suporte do pedal de embreagem, bucha de amortecimento do pedal de embreagem;sim
Bucha do Pedal de Freio;bucha de fixação do pedal de freio, bucha de suporte do pedal de freio, bucha de amortecimento do pedal de freio;sim
Bucha do Pedal do Acelerador;bucha de fixação do pedal do acelerador, bucha de suporte do pedal do acelerador, bucha de amortecimento do pedal do acelerador;sim
Bucha do Piloto do Volante;bucha de fixação do piloto do volante, bucha de suporte do piloto do volante, bucha de amortecimento do piloto do volante;sim
Bucha do Pino;bucha de fixação do pino, bucha de suporte do pino, bucha de amortecimento do pino;sim
Bucha do Pivô da Tampa de Caçamba;bucha de fixação do pivô da tampa de caçamba, bucha de suporte do pivô da tampa de caçamba, bucha de amortecimento do pivô da tampa de caçamba;sim
Bucha do Quadro;bucha de fixação do quadro, bucha de suporte do quadro, bucha de amortecimento do quadro;sim
Bucha do Radiador do Intercooler;bucha de fixação do radiador do intercooler, bucha de suporte do radiador do intercooler, bucha de amortecimento do radiador do intercooler;sim
Bucha do Reparo da Caixa de Direção;bucha de fixação do reparo da caixa de direção, bucha de suporte do reparo da caixa de direção, bucha de amortecimento do reparo da caixa de direção;sim
Bucha do Reparo da Dobradiça da Tampa de Caçamba;bucha de fixação do reparo da dobradiça da tampa de caçamba, bucha de suporte do reparo da dobradiça da tampa de caçamba, bucha de amortecimento do reparo da dobradiça da tampa de caçamba;sim
Bucha do Reparo de Cabine;bucha de fixação do reparo de cabine, bucha de suporte do reparo de cabine, bucha de amortecimento do reparo de cabine;sim
Bucha do Respiro da Tampa de Válvula;bucha de fixação do respiro da tampa de válvula, bucha de suporte do respiro da tampa de válvula, bucha de amortecimento do respiro da tampa de válvula;sim
Bucha do Seletor de Mudanças da Caixa de Câmbio;bucha de fixação do seletor de mudanças da caixa de câmbio, bucha de suporte do seletor de mudanças da caixa de câmbio, bucha de amortecimento do seletor de mudanças da caixa de câmbio;sim
Bucha do Soquete da Alavanca;bucha de fixação do soquete da alavanca, bucha de suporte do soquete da alavanca, bucha de amortecimento do soquete da alavanca;sim
Bucha do Spoiler Lateral;bucha de fixação do spoiler lateral, bucha de suporte do spoiler lateral, bucha de amortecimento do spoiler lateral;sim
Bucha do Suporte da Sapata de Freio;bucha de fixação do suporte da sapata de freio, bucha de suporte do suporte da sapata de freio, bucha de amortecimento do suporte da sapata de freio;sim
Bucha do Suporte de Fixação;bucha de fixação do suporte de fixação, bucha de suporte do suporte de fixação, bucha de amortecimento do suporte de fixação;sim
Bucha do Suporte do Alternador;bucha de fixação do suporte do alternador, bucha de suporte do suporte do alternador, bucha de amortecimento do suporte do alternador;sim
Bucha do Suporte do Diferencial;bucha de fixação do suporte do diferencial, bucha de suporte do suporte do diferencial, bucha de amortecimento do suporte do diferencial;sim
Bucha do Suporte do Escapamento;bucha de fixação do suporte do escapamento, bucha de suporte do suporte do escapamento, bucha de amortecimento do suporte do escapamento;sim
Bucha do Suporte do Varão de Câmbio;bucha de fixação do suporte do varão de câmbio;sim
Bucha do Tanque de Expansão do Radiador;bucha de fixação do tanque de expansão do radiador, bucha de suporte do tanque de expansão do radiador, bucha de amortecimento do tanque de expansão do radiador;sim
Bucha do Tirante;bucha de fixação do tirante, bucha de suporte do tirante, bucha de amortecimento do tirante;sim
Bucha do Tirante da Barra Estabilizadora;bucha de fixação do tirante da barra estabilizadora, bucha de suporte do tirante da barra estabilizadora, bucha de amortecimento do tirante da barra estabilizadora;sim
Bucha do Tirante da Suspensão;bucha de fixação do tirante da suspensão, bucha de suporte do tirante da suspensão, bucha de amortecimento do tirante da suspensão;sim
Bucha do Tirante de Válvula de Cabine;bucha de fixação do tirante de válvula de cabine, bucha de suporte do tirante de válvula de cabine, bucha de amortecimento do tirante de válvula de cabine;sim
Bucha do Tirante do Radiador;bucha de fixação do tirante do radiador, bucha de suporte do tirante do radiador, bucha de amortecimento do tirante do radiador;sim
Bucha do Trambulador;bucha de fixação do trambulador, bucha de suporte do trambulador, bucha de amortecimento do trambulador;sim
Bucha do Tubo do Eixo;bucha de fixação do tubo do eixo, bucha de suporte do tubo do eixo, bucha de amortecimento do tubo do eixo;sim
Bucha do Varão;bucha de fixação do varão, bucha de suporte do varão, bucha de amortecimento do varão;sim
Bucha do Varão da Alavanca de Câmbio;bucha de fixação do varão da alavanca de câmbio, bucha de suporte do varão da alavanca de câmbio, bucha de amortecimento do varão da alavanca de câmbio;sim
Bucha do Varão da Embreagem;bucha de fixação do varão da embreagem, bucha de suporte do varão da embreagem, bucha de amortecimento do varão da embreagem;sim
Bucha do Varão do Acelerador;bucha de fixação do varão do acelerador, bucha de suporte do varão do acelerador, bucha de amortecimento do varão do acelerador;sim
Bucha do Varão do Câmbio;bucha de fixação do varão do câmbio, bucha de suporte do varão do câmbio, bucha de amortecimento do varão do câmbio;sim
Bucha do Varão do Trambulador;bucha de fixação do varão do trambulador, bucha de suporte do varão do trambulador, bucha;sim
Bucha Eixo da Suspensão;bucha do pivô da suspensão, bucha do eixo da suspensão dianteira, bucha do eixo da suspensão traseira;sim
Bucha Eixo S;bucha do eixo semi-eixo, bucha do eixo semieixo, bucha do eixo de transmissão;sim
Bucha Eixo S Nylon;bucha do eixo semieixo de nylon, bucha do eixo de transmissão em nylon, bucha do eixo semi-eixo de nylon;sim
Bucha Espaçador da Manga de Eixo;bucha de fixação da manga de eixo, bucha de suporte da manga de eixo, bucha de amortecimento da manga de eixo;sim
Bucha Espaçadora da Mola de Suspensão;bucha de fixação da mola de suspensão, bucha de suporte da mola de suspensão, bucha de amortecimento da mola de suspensão;sim
Bucha Espaçadora das Marchas;bucha de fixação das marchas, bucha de suporte das marchas, bucha de amortecimento das marchas;sim
Bucha Espaçadora do Mancal;bucha de fixação do mancal, bucha de suporte do mancal, bucha de amortecimento do mancal;sim
